ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
60,11,197,44,3195,245,120,56,440,137,60,34,314,130,52,51,47,46,59,303,306,152,125,27,76,28,30,103,71,189,80,397,202,8,213,42,264,373,45,39,17,76,381,68,34,456,454,43,189,15
64,5,230,29,3288,219,118,35,442,157,31,40,316,131,60,71,62,74,47,267,303,171,117,20,95,43,21,68,71,222,83,319,250,8,223,47,240,367,30,68,12,113,515,80,38,448,323,28,176,13
59,7,172,36,2666,195,143,43,479,138,37,29,333,89,54,63,54,63,78,296,318,123,128,17,100,22,29,73,70,227,65,543,237,3,182,40,273,393,49,51,6,80,388,60,37,400,282,41,156,19
65,6,202,43,2682,235,127,34,442,129,23,43,350,124,72,65,67,48,50,225,318,206,159,24,115,37,43,74,78,253,83,486,207,13,229,47,258,360,41,59,16,99,397,61,36,329,520,36,246,15
65,14,179,46,2285,208,113,42,531,148,68,27,268,104,62,45,61,56,74,235,256,142,172,31,103,28,36,78,59,219,67,321,251,3,197,55,230,332,33,62,17,72,502,64,31,383,304,30,151,17
90,11,245,53,2995,223,161,40,542,198,92,42,273,98,60,48,57,50,80,321,360,164,154,29,107,35,34,64,74,252,82,489,316,9,183,56,184,398,49,77,11,100,507,84,46,490,322,38,169,17
48,9,198,40,2276,265,118,26,421,102,107,38,343,85,51,43,50,47,59,211,252,115,126,25,93,27,21,99,69,226,57,412,141,7,167,29,238,320,36,69,17,61,311,58,30,337,319,23,167,17
64,15,203,56,2852,179,143,32,437,164,54,39,432,111,65,58,65,66,70,291,359,186,101,20,111,36,27,63,81,269,77,427,246,11,223,55,203,383,41,61,16,105,452,60,37,423,339,38,184,18
51,11,181,42,2425,187,196,30,377,124,69,36,251,73,38,35,46,53,61,201,250,124,112,28,85,22,20,78,65,179,40,384,226,2,118,37,176,246,30,56,10,58,273,52,32,304,284,16,121,19
52,6,161,36,1977,140,146,24,369,130,22,17,229,59,46,28,46,47,30,174,215,102,155,7,40,24,7,45,44,185,37,369,180,4,132,34,170,235,22,59,8,45,289,50,26,251,252,21,117,9
67,6,193,49,2475,178,145,45,477,140,77,41,305,131,67,45,58,55,76,311,309,155,96,44,89,25,27,60,96,288,66,423,252,3,204,51,287,408,41,61,19,90,439,62,47,424,321,40,196,19
40,5,136,52,2190,175,71,25,310,102,66,26,225,68,45,44,46,47,40,195,191,107,106,45,94,21,26,47,61,156,55,318,148,1,152,28,178,243,30,61,10,70,413,48,30,296,286,27,122,9
56,6,161,34,2019,175,96,21,334,122,43,37,268,95,49,38,42,45,37,167,229,123,114,29,64,21,20,47,53,183,69,343,193,3,171,42,210,245,23,66,13,50,343,60,38,309,305,17,161,7
43,8,148,57,2621,117,101,35,353,126,65,30,288,144,46,41,56,38,43,211,198,115,88,26,73,18,21,64,42,204,48,333,188,6,188,39,175,304,31,53,16,91,354,56,36,369,226,30,124,12
83,11,174,48,2312,161,129,41,437,148,43,43,226,86,57,49,52,45,55,251,331,112,150,26,85,24,21,61,91,229,54,384,213,6,199,48,175,316,35,81,8,80,345,49,45,412,261,30,192,17
66,18,226,34,2974,185,98,27,371,147,59,48,311,99,69,61,54,47,50,229,270,139,142,17,112,30,23,73,58,218,77,378,225,6,169,51,243,295,29,69,14,77,432,71,46,403,309,27,170,11
74,14,247,66,3223,184,132,45,545,187,74,56,379,201,65,53,79,54,60,346,348,169,121,25,105,40,30,77,107,270,66,441,317,2,273,57,291,375,51,81,18,119,441,90,48,433,363,48,213,11
76,20,264,75,3067,257,122,29,509,196,67,56,358,127,45,65,60,70,58,361,338,165,145,22,112,39,31,74,80,250,69,417,376,8,262,75,291,356,40,134,10,94,555,76,42,423,326,39,232,16
71,19,220,96,3027,186,121,30,447,189,67,54,354,108,74,52,53,54,51,293,318,140,147,17,99,32,26,53,68,237,61,375,321,4,227,52,284,357,39,81,13,100,528,83,55,396,346,34,235,11
55,11,228,39,2666,176,144,40,347,112,46,51,339,128,84,62,52,33,60,177,248,143,174,27,135,42,32,65,53,166,87,346,217,4,202,47,283,307,30,97,15,88,323,74,31,212,326,19,183,17
37,10,202,52,2501,243,128,23,346,108,47,28,289,94,53,71,51,28,33,172,275,132,276,22,94,17,24,55,54,180,53,362,171,8,204,50,268,216,34,56,13,70,372,54,49,222,281,15,196,11
53,17,194,49,2603,245,167,20,456,126,32,28,296,84,71,62,57,28,60,210,239,129,154,12,95,20,21,63,57,164,76,319,193,5,170,46,271,305,34,49,13,97,336,56,36,244,414,30,155,14
48,7,197,32,2508,193,192,15,437,118,52,33,281,91,64,68,41,23,59,232,244,136,159,15,110,17,19,70,61,231,82,395,183,4,164,19,238,273,37,55,11,79,402,55,53,309,374,18,145,6
43,18,227,40,3378,266,204,24,627,173,34,49,392,122,107,83,52,53,82,271,463,147,187,14,118,24,34,91,105,306,72,677,285,8,244,45,405,327,73,71,15,99,462,71,64,421,592,31,218,12
52,17,411,57,5277,418,308,63,822,251,46,81,584,243,190,170,90,53,118,429,519,252,280,22,232,27,56,102,116,397,120,870,406,13,385,62,534,509,70,84,31,114,711,85,89,559,793,37,401,19
81,16,570,71,3671,224,279,47,834,249,71,69,406,175,117,115,85,51,69,279,371,237,317,27,205,33,43,110,94,278,104,843,331,11,281,64,346,403,57,96,23,134,601,72,54,401,541,42,232,19
163,19,580,136,5082,423,349,47,1576,448,50,110,689,280,239,193,181,111,137,481,665,491,427,51,361,51,71,178,196,502,186,1068,554,11,698,414,628,717,91,137,48,250,1287,137,109,731,905,76,508,33
158,28,637,150,5638,364,238,76,908,317,59,74,533,151,56,53,68,120,110,421,501,196,308,52,133,38,28,212,125,439,68,735,400,8,275,475,543,585,56,180,12,132,870,123,60,612,753,46,240,25
71,4,422,109,4028,330,309,68,762,235,70,83,656,230,130,113,89,61,71,478,502,230,273,42,184,50,43,150,107,428,116,865,420,14,323,85,394,555,79,118,17,112,690,101,76,515,592,52,324,27
85,26,515,75,3913,306,274,31,609,199,44,51,498,188,121,132,70,59,74,351,435,268,366,26,201,43,53,116,115,322,111,674,373,17,316,90,403,486,58,143,26,121,499,110,74,472,522,44,305,18
53,15,387,62,3389,279,241,45,575,206,39,58,457,164,105,100,69,31,82,300,362,166,207,32,164,36,42,111,78,262,74,499,330,10,250,64,314,387,53,88,21,95,488,95,57,359,503,34,252,21
72,10,420,77,2919,198,254,27,876,262,55,53,430,182,105,79,85,40,30,308,391,247,272,31,166,37,43,87,104,435,88,777,298,11,344,318,215,399,64,101,23,149,490,93,70,485,453,38,189,12
123,30,457,81,4023,365,179,22,1567,355,65,64,430,240,120,97,71,87,78,402,436,237,266,46,174,60,58,159,118,529,84,563,370,15,321,609,372,470,65,94,26,139,948,123,67,473,595,42,233,14
149,13,457,95,3717,223,245,49,752,195,63,46,531,160,87,78,72,82,93,349,344,185,361,30,173,46,38,113,64,315,101,575,381,8,279,182,287,478,40,118,11,126,696,213,42,376,575,30,157,23
92,20,646,83,2908,208,217,41,759,205,72,34,470,165,95,69,79,47,79,255,319,177,236,44,171,27,27,208,56,314,86,665,278,8,310,103,232,435,49,113,10,111,514,47,42,366,365,34,168,17
94,5,378,76,2989,211,186,45,724,174,40,37,310,147,95,88,70,56,49,277,372,157,196,41,156,27,41,97,80,277,74,506,309,13,256,80,263,345,47,92,24,142,629,110,34,389,389,31,146,6
113,11,469,91,4500,260,353,51,1239,284,72,107,791,415,217,173,140,101,89,448,607,313,362,41,283,62,77,150,138,433,136,925,469,21,520,224,397,627,76,141,31,210,865,114,92,692,819,75,418,27
164,35,661,142,5154,407,363,82,1132,295,74,81,794,293,205,145,161,99,103,548,650,327,401,52,299,61,62,171,180,596,160,1142,467,25,533,124,484,755,93,178,36,242,1120,129,95,718,785,78,347,35
141,112,800,102,4217,308,279,41,785,260,80,47,430,175,89,80,64,81,111,336,395,150,238,50,175,43,36,169,111,420,80,795,458,17,285,103,384,438,60,135,25,143,700,73,55,444,390,50,192,27
138,42,343,101,2726,196,179,32,796,224,56,49,456,210,90,114,71,72,64,221,362,160,216,37,177,47,42,90,70,263,87,688,348,15,277,182,201,389,40,181,22,134,736,89,41,351,311,31,202,15
133,46,455,123,3494,240,251,43,719,258,59,66,564,283,121,107,117,85,75,276,410,219,309,56,187,62,93,133,120,359,83,704,479,27,390,103,389,388,63,150,16,153,799,73,68,409,543,52,311,19
102,46,415,92,2845,229,281,50,584,191,38,40,374,219,90,91,87,73,84,308,423,183,270,37,158,37,37,143,88,311,80,480,282,21,286,87,267,376,36,121,20,155,507,160,71,406,320,49,234,18
88,26,401,76,2924,191,237,52,594,182,36,48,348,143,106,95,77,60,83,335,410,178,224,41,177,33,25,135,97,521,66,682,286,16,285,110,218,445,58,93,20,123,413,76,47,426,435,50,185,20
93,31,323,68,2508,299,180,23,612,207,42,39,463,180,105,78,77,73,66,306,329,210,269,33,140,29,51,104,76,429,86,529,345,14,307,131,254,448,48,110,23,173,650,101,40,327,365,43,216,20
63,21,225,73,1727,175,127,24,510,143,29,39,345,116,74,72,43,57,50,241,236,120,246,36,120,30,26,52,38,254,53,345,207,8,192,45,144,353,30,84,14,93,506,55,34,224,177,27,151,18
35,7,172,57,1896,202,132,15,621,127,48,19,314,158,81,89,58,49,60,228,207,115,165,23,99,26,30,64,47,286,67,395,174,6,209,47,152,287,20,77,18,78,520,39,29,242,167,14,160,3
